intervalo,estimativa,resposavel,subtarefas,atrasado
13,0,139,0,0
1,0,118,11,1
5,0,122,0,0
8,0,134,0,1
1,0,169,0,1
4,0,140,0,0
0,0,118,0,1
0,0,0,0,1
0,16,0,0,1
0,0,0,0,1
0,16,0,0,1
0,0,0,0,1
11,3,0,0,1
11,5,169,0,0
11,5,169,0,0
0,0,0,0,1
11,5,15,0,0
11,8,0,0,1
11,16,108,0,1
11,16,15,7,1
11,3,116,0,0
11,3,159,0,0
11,5,116,0,0
11,3,159,0,0
11,5,116,0,0
11,0,0,0,0
11,8,128,2,0
0,0,138,0,1
0,0,138,0,1
0,0,140,0,1
10,2,118,0,0
10,0,108,0,0
10,5,118,3,0
0,0,138,0,0
9,0,118,0,0
9,0,0,0,0
9,0,127,0,1
9,0,128,0,0
0,0,138,0,0
6,0,140,0,0
20,0,139,0,1
8,8,118,0,0
0,0,138,0,1
0,0,138,0,1
0,0,138,0,1
4,0,128,0,0
4,0,159,0,0
4,0,159,0,0
4,0,128,0,0
0,0,0,0,1
4,0,128,0,0
4,0,128,0,0
3,0,169,0,1
3,0,169,0,1
3,0,169,0,0
3,0,15,0,0
3,0,0,0,0
0,0,140,0,0
17,8,128,0,1
3,0,128,0,0
14,0,0,0,0
14,0,0,0,0
2,0,128,0,0
1,0,0,0,1
1,0,127,0,1
1,0,118,0,1
0,0,138,0,1
0,0,15,0,1
12,8,0,0,1
12,3,0,0,1
12,8,0,0,1
0,0,138,0,0
0,0,138,0,1
11,5,169,0,1
11,2,169,0,1
9,8,175,0,1
9,8,175,0,1
9,8,175,0,1
11,5,0,0,0
11,0,159,0,1
2,0,131,0,1
2,0,122,0,0
2,0,0,0,1
18,0,138,0,1
0,0,138,0,1
4,0,140,0,0
11,8,116,0,1
11,8,127,0,1
11,3,159,0,1
0,0,138,0,1
0,0,138,0,1
10,0,128,0,0
10,5,116,0,1
24,16,116,0,1
7,0,0,0,0
18,0,138,0,1
15,0,140,0,0
20,0,138,0,0
27,0,140,0,0
32,0,138,0,1
6,0,138,0,1
12,0,138,0,1
21,0,140,0,0
14,0,138,0,1
7,0,140,0,1
0,0,122,0,0
22,5,118,2,1
0,0,122,0,0
7,0,159,0,1
7,0,108,0,0
7,0,118,0,1
0,0,138,0,1
10,0,138,0,1
0,0,138,0,1
0,0,138,0,1
2,0,169,0,1
28,5,0,0,1
28,5,0,0,1
16,8,118,6,1
16,8,118,7,1
2,0,118,0,1
2,0,108,0,0
2,0,118,0,0
1,0,122,0,0
13,0,0,0,0
0,0,140,0,0
1,0,128,0,1
0,0,138,0,1
4,0,140,0,0
4,0,140,0,0
0,0,138,0,1
11,8,169,0,1
11,3,169,0,1
11,3,169,0,1
11,3,169,0,1
11,0,0,0,0
11,0,0,0,0
11,16,15,0,1
11,2,108,0,1
11,5,118,1,1
11,5,128,0,1
11,8,128,0,1
11,3,108,0,1
11,2,108,0,1
11,5,116,0,1
0,0,138,0,1
0,0,138,0,1
0,0,140,0,1
10,0,108,0,1
10,0,127,0,0
10,0,0,0,0
0,0,122,0,0
8,0,169,5,1
0,0,138,0,0
0,0,138,0,0
24,0,140,0,0
21,5,169,0,1
0,0,122,0,0
20,0,140,0,0
4,0,108,0,1
4,16,159,0,1
4,0,108,0,1
0,0,138,0,1
0,0,138,0,1
3,0,118,0,1
3,0,108,0,1
3,0,108,0,1
14,8,0,0,1
14,16,175,0,1
14,5,175,0,1
14,5,0,0,1
14,5,0,0,1
14,5,0,0,1
2,0,118,2,1
14,5,175,0,1
0,0,138,0,1
0,0,138,0,0
0,0,138,0,0
11,3,169,0,1
11,3,169,0,1
11,5,128,0,0
11,8,128,0,0
11,8,116,0,1
11,3,127,0,1
11,16,127,0,1
11,8,128,0,1
11,8,118,0,1
11,8,118,3,1
11,5,118,0,1
11,8,118,3,1
0,0,138,0,1
8,0,0,0,1
8,0,0,0,1
9,0,169,0,1
9,0,108,0,1
9,0,118,5,1
8,0,169,0,1
8,0,108,0,0
0,0,122,0,1
8,0,108,0,0
0,0,138,0,1
0,0,138,0,1
7,3,118,0,1
0,0,138,0,0
8,0,83,0,0
18,0,140,0,1
4,0,159,0,1
3,0,128,0,0
3,0,128,0,0
3,0,128,0,0
3,0,128,0,0
0,0,138,0,1
0,0,138,0,1
0,0,122,0,0
2,0,128,0,0
1,0,140,0,1
5,0,140,0,0
14,0,138,0,1
21,0,140,0,0
58,0,138,0,1
30,0,138,0,1
44,0,138,0,1
9,0,140,0,0
34,0,138,0,1
8,0,138,0,1
27,0,140,0,0
0,0,138,0,1
0,0,138,0,1
14,0,140,0,0
13,8,141,0,1
1,0,128,0,1
1,0,108,0,1
1,0,108,0,1
3,0,149,14,0
0,5,108,0,1
0,3,169,0,1
11,0,0,0,1
11,2,169,0,1
11,5,169,0,1
11,2,169,0,1
11,8,169,0,1
11,3,128,0,1
11,3,159,0,1
11,2,0,0,1
1,0,122,0,0
0,0,138,0,1
10,0,169,0,0
10,0,169,0,0
10,0,169,0,0
0,0,138,0,0
0,0,138,0,0
9,0,118,0,1
9,0,128,0,0
8,0,108,0,0
24,0,125,1,1
7,0,128,0,0
7,0,128,0,0
0,0,138,0,1
0,0,138,0,1
4,0,108,0,0
4,0,108,0,0
4,0,181,0,1
0,0,138,0,0
0,0,138,0,0
10,0,83,0,1
0,0,138,0,1
0,0,138,0,1
0,0,138,0,1
0,0,138,0,1
0,0,138,0,1
0,0,138,0,1
11,0,181,0,1
11,5,169,0,1
11,8,169,0,1
11,5,169,0,1
11,2,169,0,1
11,8,169,0,1
11,3,169,2,1
0,0,138,0,1
10,0,0,0,0
10,16,0,0,0
10,5,116,0,1
10,8,116,0,1
10,8,116,0,0
10,5,116,0,1
10,2,159,0,1
14,3,181,0,1
14,5,181,0,1
14,8,181,0,1
2,0,140,0,0
0,0,138,0,0
0,0,138,0,1
7,0,169,0,1
12,5,181,0,1
0,0,138,0,1
0,0,138,0,1
4,0,118,0,1
0,0,138,0,1
0,0,138,0,1
6,0,140,0,0
3,0,118,4,1
14,5,0,0,0
14,3,175,0,0
14,5,175,0,0
2,0,159,0,1
14,5,175,0,0
14,5,0,0,0
2,0,118,0,1
1,0,0,0,0
32,0,140,0,0
20,0,140,0,1
18,0,140,0,1
22,0,140,0,0
27,0,138,0,1
4,0,140,0,0
12,0,140,0,0
7,0,138,0,1
1,0,118,0,1
1,0,181,0,1
1,0,169,0,1
3,0,140,0,0
7,0,140,0,1
13,0,140,0,0
35,0,140,0,1
0,0,118,0,1
11,5,169,0,1
2,0,181,0,1
2,0,181,0,1
2,0,181,0,1
11,3,159,0,1
11,8,159,0,1
11,5,128,0,0
11,8,0,0,1
11,16,108,0,1
11,5,128,0,1
0,0,138,0,1
0,0,138,0,1
0,0,138,0,1
0,0,138,0,1
0,0,138,0,1
0,0,138,0,1
10,0,169,0,1
0,0,122,0,1
0,0,138,0,1
0,0,138,0,1
0,0,138,0,1
8,0,118,0,0
8,0,118,0,0
14,5,169,0,1
14,16,181,0,1
14,3,0,0,1
14,5,181,0,1
14,3,181,0,1
14,2,181,0,1
0,0,138,0,1
0,0,138,0,1
7,0,169,0,1
7,0,169,0,1
0,0,138,0,1
8,0,138,0,1
4,0,169,0,1
4,0,169,0,1
0,0,138,0,1
0,0,138,0,1
10,0,140,0,0
0,0,138,0,1
0,0,138,0,1
5,0,140,0,0
14,8,0,0,0
14,8,139,0,1
0,0,122,0,0
0,0,138,0,1
0,0,138,0,1
-3,0,116,0,1
11,3,118,0,0
2,0,140,0,0
7,0,140,0,0
9,0,118,3,0
0,0,138,0,1
0,0,138,0,1
0,0,138,0,1
0,0,138,0,1
8,0,138,0,1
0,0,138,0,1
0,0,138,0,1
0,0,138,0,1
6,0,140,0,0
0,0,122,0,0
1,0,118,0,1
17,0,140,0,0
6,0,140,0,0
3,0,140,0,0
0,0,138,0,1
17,0,140,0,0
8,0,138,0,1
20,0,138,0,1
6,0,138,0,1
13,0,140,0,0
29,0,140,0,0
34,0,138,0,1
10,0,138,0,1
21,0,140,0,0
30,0,138,0,0
19,0,140,0,0
7,0,140,0,1
23,0,140,0,0
0,0,140,0,0
1,0,138,0,1
0,0,138,0,0
0,0,138,0,1
0,0,138,0,1
0,0,138,0,1
0,0,138,0,1
0,0,138,0,1
0,0,138,0,1
1,0,118,6,1
0,0,138,0,1
0,0,138,0,1
0,0,138,0,1
0,0,0,0,0
1,0,139,0,1
0,0,0,0,0
0,0,138,0,1
0,0,138,0,1
0,0,138,0,1
0,0,139,0,0
0,0,139,0,0
0,0,138,0,1
0,0,138,0,1
2,0,140,0,0
0,0,138,0,0
0,0,138,0,0
12,0,15,0,0
12,0,116,0,0
12,0,134,0,0
0,0,138,0,0
11,0,116,0,0
11,0,116,0,0
11,0,116,0,0
11,0,116,0,0
11,0,134,0,0
8,0,10,5,1
11,5,116,0,0
11,8,116,0,0
