intervalo,estimativa,Minutos,atrasado
8,0,120,0
9,0,77,0
7,0,270,0
17,16,730,0
70,0,68,0
14,2,90,1
11,5,443,1
179,3,120,1
0,0,600,1
2,0,895,1
0,16,1164,1
0,0,88,1
11,8,240,0
21,0,60,0
1,0,60,0
16,16,255,1
14,5,300,1
0,0,360,1
0,0,420,1
3,0,49,1
1,0,540,1
22,5,180,0
15,2,354,1
0,0,495,1
11,8,427,1
10,8,513,1
9,2,60,0
0,0,131,1
4,0,30,0
11,16,754,1
4,0,15,0
10,0,40,0
7,0,65,0
2,0,1005,1
12,8,219,0
8,0,10,0
13,0,2034,0
8,0,60,0
13,16,949,0
24,0,324,1
9,5,525,1
1,0,240,1
11,2,120,1
12,16,249,1
9,3,270,1
4,0,75,1
11,5,405,1
11,5,420,1
11,8,780,0
8,0,95,0
4,0,420,1
1,0,188,0
11,16,1449,1
14,5,120,0
1,0,60,0
11,2,49,0
0,0,60,0
25,16,1200,1
0,0,240,1
0,0,160,1
7,0,559,1
3,0,60,0
4,0,120,1
11,0,37,0
11,5,300,1
12,0,30,0
10,0,45,0
11,5,199,1
11,8,425,1
14,2,34,0
11,8,440,1
21,0,199,1
13,0,841,1
11,0,30,0
11,2,60,0
10,0,120,0
11,3,754,1
4,0,467,1
2,0,30,1
0,0,630,1
11,8,750,1
11,2,80,0
23,5,420,1
11,3,49,1
11,8,514,1
7,0,30,0
11,8,480,1
15,8,795,1
1,0,60,1
4,0,60,0
91,5,38,0
3,0,403,1
0,0,58,1
11,8,510,1
7,2,225,1
28,16,1154,1
25,0,910,1
4,0,30,0
11,3,99,1
25,0,383,1
11,8,195,1
4,0,398,1
1,0,120,1
32,0,1215,1
10,0,84,0
11,0,410,1
9,0,80,1
8,0,10,0
142,1,60,0
11,5,300,1
10,0,45,1
11,3,150,0
10,0,5,0
12,0,180,0
31,16,540,1
16,3,75,0
1,0,414,1
11,3,180,1
11,5,435,1
11,8,270,1
11,3,240,0
25,0,450,0
0,0,15,1
7,0,20,0
13,0,297,1
7,0,180,0
15,3,90,0
26,5,90,0
9,16,1020,1
1,4,172,0
0,0,56,1
0,0,330,0
14,2,120,0
6,0,30,0
13,5,346,1
2,0,180,1
0,0,199,1
7,0,510,1
14,2,40,1
0,0,141,1
10,0,194,0
11,0,113,0
11,5,660,1
0,0,477,1
12,8,450,1
11,2,20,1
23,2,15,0
9,5,130,1
7,0,166,1
11,5,237,0
9,0,30,0
11,8,1085,0
9,0,300,0
9,0,90,1
4,0,154,0
11,3,120,1
11,5,420,1
10,5,234,1
9,0,29,0
-271,0,55,1
95,8,515,1
11,0,2419,1
11,16,1080,1
1,0,55,1
11,5,240,1
4,0,9,0
10,0,139,1
13,16,540,0
7,0,15,0
10,0,49,0
11,5,750,0
2,0,14,0
2,16,624,1
11,16,865,1
11,8,919,1
11,8,861,1
28,24,3096,1
4,0,150,0
7,8,180,1
11,16,725,1
7,2,60,0
8,0,77,1
11,2,15,0
85,0,29,0
1,0,139,1
11,5,350,0
4,0,308,1
8,0,1160,1
0,0,34,1
11,2,80,1
1,0,459,1
0,0,8845,1
11,5,300,0
0,0,139,1
3,0,600,1
0,0,359,1
2,0,120,0
10,0,49,1
14,2,120,1
11,8,375,1
10,3,253,0
10,5,450,1
23,0,660,1
13,5,229,1
11,8,199,1
11,0,247,0
11,5,156,0
11,3,169,1
0,0,80,0
10,0,42,0
9,5,300,0
9,5,359,1
1,0,316,1
11,2,30,0
11,16,1782,1
0,0,854,1
3,0,30,0
0,2,210,1
8,0,30,0
11,2,20,0
0,16,895,1
11,0,386,1
0,8,360,1
10,0,105,0
4,2,262,1
11,16,870,1
11,2,165,0
7,0,34,1
11,5,300,1
11,8,479,1
0,0,120,1
15,2,69,0
25,8,430,1
1,0,130,0
5,0,341,1
0,0,90,1
9,8,1361,0
11,5,510,0
11,3,270,0
10,8,300,0
2,0,209,1
9,0,117,0
0,0,69,1
10,0,10,0
0,0,160,1
11,3,176,1
11,0,191,0
4,0,60,0
4,0,30,1
3,0,120,1
1,0,8,1
9,0,1980,1
11,8,455,1
11,3,120,1
11,5,540,1
11,5,373,0
2,0,1459,1
9,0,506,0
9,0,290,0
11,0,74,1
11,5,231,1
4,0,7,1
10,0,69,0
0,0,15,1
11,8,255,1
13,8,479,0
11,8,310,0
0,0,120,1
2,0,180,1
4,0,190,0
25,8,919,1
11,2,83,0
0,0,90,1
17,8,1087,1
15,5,210,1
9,0,120,0
11,16,805,1
7,0,99,0
8,0,53,0
11,2,90,1
1,0,1185,1
9,16,655,0
7,0,90,1
10,5,395,1
11,5,270,1
8,0,60,0
7,0,240,1
11,24,895,1
11,8,720,1
6,0,214,0
1,0,136,1
9,0,97,0
14,16,1164,0
9,0,67,0
0,0,330,1
8,0,75,1
11,8,110,1
0,0,360,1
11,5,330,0
11,8,252,1
11,8,1855,1
25,8,480,1
11,5,249,1
12,2,34,0
11,2,5,1
9,0,210,0
11,5,270,0
28,2,60,1
13,8,1133,1
29,0,630,0
10,0,51,0
11,3,40,0
10,0,91,0
25,8,425,1
13,8,395,1
8,0,10,0
11,3,300,1
7,0,220,0
11,2,69,0
0,2,45,1
8,0,346,0
9,8,420,1
9,16,840,1
0,16,403,1
18,5,240,1
11,2,30,0
7,0,60,0
3,0,769,1
11,2,60,1
21,16,954,0
10,16,1484,1
8,0,24,0
10,0,141,0
7,0,270,0
11,2,120,1
9,5,180,0
8,0,191,1
9,0,135,0
10,0,240,0
4,0,539,1
0,0,291,1
2,0,20,0
10,0,41,0
3,0,60,1
25,2,69,0
11,16,640,1
11,0,318,1
2,0,60,0
10,0,180,0
11,3,234,0
11,8,600,1
11,3,240,1
11,3,60,1
11,2,120,0
10,8,990,1
0,2,120,1
1,0,110,0
11,8,720,0
25,8,600,1
9,0,294,0
9,0,169,1
9,0,110,1
0,0,240,1
0,0,40,1
11,3,120,1
3,0,180,0
2,0,240,1
15,2,10,0
12,0,1465,1
11,3,180,1
12,0,114,0
9,0,220,0
2,0,80,0
11,3,60,0
0,0,120,1
11,0,105,0
11,8,459,1
11,5,300,0
11,8,909,1
11,5,300,1
25,0,799,0
0,0,1226,1
8,0,1119,1
11,0,595,1
9,0,170,0
59,3,114,0
11,5,150,0
15,0,120,1
26,16,125,1
11,3,180,0
17,5,206,0
11,16,930,1
11,16,510,1
25,5,184,0
2,0,47,0
11,2,120,1
10,5,311,0
4,0,480,0
23,8,649,1
11,3,112,0
3,0,146,0
0,3,240,1
3,0,133,0
13,2,120,0
10,0,320,0
1,0,69,1
11,5,220,1
3,0,90,1
0,0,539,1
9,3,55,1
4,0,20,0
13,0,90,0
23,8,670,0
8,8,630,1
14,3,180,1
11,16,730,1
14,0,150,1
22,3,92,0
17,2,30,1
4,0,135,0
0,16,863,1
9,0,255,1
9,0,239,1
11,3,111,0
35,16,600,1
10,0,180,0
10,0,30,0
13,16,656,0
7,0,120,0
7,0,503,0
9,0,535,1
28,8,960,1
14,0,95,1
