id,intervalo,estimativa,responsavel,totalsub,prioridade,minutos,atrasado
17839,1,0,0,0,2,103,0
17378,1,0,1,0,0,619,1
18171,9,0,1,0,0,60,0
14530,11,0,1,0,0,110,0
15031,11,8,1,0,0,631,1
15609,11,3,1,0,1,230,0
17530,10,0,1,0,1,32,0
20687,7,0,1,0,0,151,1
8639,9,16,0,0,0,486,1
8971,10,0,1,0,0,60,0
9266,11,24,1,0,0,1297,0
14922,8,0,1,0,2,671,0
16545,2,0,1,0,1,90,0
19545,11,8,0,3,0,390,1
20295,1,0,1,0,0,770,1
9074,1,6,0,0,0,230,1
23730,2,0,1,0,0,60,1
12074,3,0,1,0,0,425,1
13408,10,16,1,0,0,360,1
22894,11,5,1,0,0,210,1
13302,3,0,1,0,0,60,0
14095,4,0,1,4,2,435,0
16302,9,0,1,0,0,95,0
18466,3,0,1,0,1,57,0
22794,14,16,1,0,0,960,1
23581,14,5,1,0,0,420,1
14782,1,0,1,0,0,120,1
15615,11,2,1,0,0,30,0
17779,5,0,0,0,0,421,0
18274,4,0,1,0,1,60,0
21274,0,16,0,0,0,585,1
22107,11,5,1,0,2,120,0
8387,10,0,1,0,0,111,0
13010,15,5,1,0,0,150,0
16551,9,0,1,0,0,60,0
