id,intervalo,estimativa,responsavel,totalsub,prioridade,minutos,atrasado
6466,7792,16,1,0,0,36,0
6501,7576,4,1,0,0,6,0
6650,6928,8,1,0,0,15,0
7121,2280,52,1,0,0,35,1
7151,3864,0,1,0,0,4,0
7362,3552,5,1,0,0,8,0
7416,3408,1,1,0,0,1,0
7461,3552,40,1,0,0,45,0
7503,2736,1,1,0,0,5,0
7505,2736,0,1,0,0,19,0
7602,2400,5,1,0,0,3,0
7610,2016,3,1,0,0,17,0
7626,3624,5,1,0,0,5,0
7640,720,3,1,0,0,3,0
7662,600,16,1,0,0,16,0
7663,600,4,1,0,0,4,0
7664,600,16,1,0,0,22,1
7674,1776,16,1,0,0,10,0
7682,576,20,1,0,0,24,0
7723,864,8,0,0,0,9,1
7726,864,12,1,0,0,12,1
7817,864,3,1,0,0,5,1
7821,1512,1,1,0,0,4,0
7824,840,0,1,0,0,21,1
7826,1848,3,1,0,0,4,0
7827,336,2,1,0,0,2,0
7829,1848,12,1,0,0,27,0
7843,1104,16,1,0,0,16,0
7854,240,24,1,0,0,15,1
7855,240,24,1,0,0,11,1
7856,744,13,1,0,0,5,1
7857,744,16,1,0,0,9,1
7858,1080,8,1,0,0,8,0
7859,744,2,1,0,0,2,0
7860,1752,24,1,0,0,25,0
7865,744,17,1,0,0,32,1
7899,1032,2,1,0,0,1,0
7916,504,39,1,0,0,9,1
7977,432,0,1,0,0,5,1
7979,432,20,1,0,0,15,1
7980,432,12,1,0,0,10,0
7981,432,19,1,0,0,16,1
7982,432,4,1,0,0,4,1
7990,408,2,1,0,0,1,1
7993,408,32,1,0,0,42,1
8005,1032,0,1,0,0,3,0
8055,192,4,1,0,0,3,0
8056,192,2,1,0,0,2,0
8058,864,8,1,0,0,12,1
8068,336,34,0,8,0,31,1
8069,336,26,0,3,0,13,1
8084,360,8,1,0,0,3,0
8085,360,2,1,0,0,2,0
8086,360,2,1,0,0,1,0
8091,360,4,1,0,0,5,0
8092,360,5,1,0,0,5,0
8096,360,2,1,0,0,1,0
8097,360,5,1,0,0,3,0
8098,360,4,1,0,0,1,0
8099,24,0,1,0,0,1,0
8101,360,4,1,0,0,3,0
8102,360,2,1,0,0,3,0
8105,336,2,1,0,0,1,0
8114,264,13,1,0,0,13,0
8115,264,16,1,0,0,4,0
8116,600,4,1,0,0,5,0
8117,264,4,0,0,0,4,0
8118,264,16,0,0,0,11,0
8119,600,4,0,0,0,1,0
8121,264,0,1,0,0,3,0
8122,264,0,1,0,0,3,0
8123,264,0,1,0,0,4,0
8128,240,0,1,0,0,2,0
8134,216,0,1,0,0,1,0
8136,552,0,1,0,0,8,1
8160,504,1,1,0,0,1,0
8163,504,3,1,0,0,1,0
8176,96,0,1,0,0,1,0
8177,96,0,1,0,0,1,0
8178,432,3,1,0,0,3,0
8184,1416,0,1,0,0,3,1
8189,720,8,1,0,0,9,0
8190,48,0,1,0,0,2,0
8191,48,0,1,0,0,3,0
8192,48,0,1,0,0,2,0
8194,48,0,1,0,0,1,0
8195,48,0,1,0,0,2,0
8197,384,5,1,0,0,4,0
8201,24,0,1,0,0,1,0
8202,24,0,1,0,0,1,0
8204,24,0,1,0,0,2,0
8205,24,0,1,0,0,1,0
8206,24,0,1,0,0,1,0
8207,24,0,1,0,0,5,0
8226,264,5,1,0,0,5,0
8227,264,16,1,0,0,10,0
8229,264,5,1,0,0,9,0
8231,264,16,0,0,0,21,1
8232,264,5,1,0,0,13,0
8234,264,8,1,0,0,8,0
8235,264,3,1,0,0,1,0
8236,264,5,1,0,0,2,0
8238,264,0,1,0,0,1,0
8239,264,16,1,0,0,14,0
8244,264,0,1,0,0,1,0
8248,240,0,1,0,0,2,0
8253,216,0,1,0,0,2,0
8255,216,0,1,0,0,5,0
8258,888,24,1,0,0,3,1
8262,192,0,1,0,0,1,0
8266,528,8,1,0,0,8,0
8268,528,5,1,0,0,10,0
8272,168,0,1,0,0,2,0
8274,168,0,1,0,0,2,0
8276,504,3,1,0,0,3,0
8278,11760,5,1,0,0,3,0
8285,96,0,1,0,0,1,0
8292,72,0,1,0,0,1,0
8295,72,0,1,0,0,2,0
8297,48,0,1,0,0,2,0
8298,48,0,1,0,0,1,0
8299,48,0,1,0,0,1,0
8300,48,0,1,0,0,1,0
8302,48,0,1,0,0,3,0
8310,24,0,1,0,0,2,0
8311,24,0,1,0,0,2,0
8312,24,0,1,0,0,2,0
8321,336,8,1,0,0,5,0
8330,264,5,1,0,0,4,0
8336,264,0,1,0,0,4,0
8338,264,5,1,0,0,7,0
8340,264,16,0,0,0,17,0
8341,264,0,1,0,0,1,0
8345,600,5,1,0,0,4,0
8368,240,0,1,0,0,2,0
8376,240,0,1,0,0,5,0
8387,240,0,1,0,0,2,0
8391,240,0,1,0,0,6,0
8400,216,0,1,0,0,3,0
8409,528,5,1,0,0,5,0
8413,168,3,1,0,0,5,0
8414,168,8,1,0,0,9,0
8432,72,0,1,0,0,1,0
8433,72,0,1,0,0,1,0
8434,72,0,1,0,0,2,0
8440,48,0,1,0,0,1,0
8441,48,0,1,0,0,1,0
8442,48,0,1,0,0,3,0
8443,48,0,1,0,0,1,0
8444,48,0,1,0,0,2,0
8445,48,0,1,0,0,1,0
8447,2064,5,1,0,0,5,0
8448,48,0,1,0,0,1,0
8449,48,0,1,0,0,1,0
8452,48,0,1,0,0,1,0
8456,48,0,1,0,0,1,0
8461,24,0,1,0,0,3,0
8462,24,0,1,0,0,2,0
8463,360,8,1,0,0,20,1
8470,264,5,1,0,0,5,0
8472,264,5,1,0,0,8,0
8473,264,16,1,0,0,18,0
8475,264,5,1,0,0,4,0
8476,264,5,1,0,0,5,0
8482,936,8,1,0,0,6,0
8488,240,16,0,0,0,15,0
8496,216,0,1,0,0,4,0
8497,216,0,1,0,0,11,0
8498,216,0,1,0,0,3,0
8499,216,0,1,0,0,2,0
8500,216,0,1,0,0,5,0
8501,216,0,1,0,0,9,0
8502,216,0,1,0,0,3,0
8510,192,40,1,0,0,38,1
8516,840,0,1,0,0,5,1
8521,96,0,1,0,0,3,0
8522,96,0,1,0,0,2,0
8523,96,0,1,0,0,3,0
8525,72,0,1,1,0,3,0
8539,672,16,1,0,0,8,1
8540,336,3,0,0,0,1,1
8541,672,24,1,0,0,52,1
8548,264,1,1,0,0,2,1
8556,264,8,1,0,0,8,1
8557,264,2,1,0,0,2,1
8560,264,16,1,0,0,24,1
8569,912,5,1,0,0,7,1
8590,72,0,1,0,0,3,1
8593,24,0,1,0,0,3,1
8597,336,3,1,0,0,3,0
8604,264,2,1,0,0,2,0
8606,264,2,1,0,0,2,0
8607,264,2,1,0,0,2,0
8608,96,2,1,0,0,1,0
8609,96,2,1,0,0,1,0
8611,264,16,1,0,0,26,0
8612,600,16,1,0,0,32,0
8613,264,16,1,0,0,13,1
8616,264,0,1,0,0,3,0
8617,264,0,1,0,0,3,0
8618,264,0,1,0,0,3,0
8619,264,2,1,0,0,2,0
8625,240,2,1,0,0,1,0
8627,240,3,1,0,0,5,0
8628,240,2,1,0,0,1,0
8629,240,2,1,0,0,6,0
8632,240,2,1,0,0,2,0
8633,240,2,1,0,0,1,0
8634,240,3,1,0,0,6,0
8636,240,5,1,0,0,6,0
8638,216,3,1,0,0,8,0
8639,216,16,0,0,0,9,1
8640,216,2,1,0,0,1,0
8651,216,2,1,0,0,1,0
8654,216,5,1,0,0,4,0
8656,216,0,1,0,0,7,0
8675,168,0,1,0,0,3,0
8677,168,2,1,0,0,2,0
8682,96,0,1,0,0,2,0
8687,96,0,1,0,0,23,1
8689,96,0,0,0,0,7,0
8692,408,8,1,0,0,8,0
8693,744,0,1,0,0,2,0
8694,72,0,1,0,0,10,1
8713,264,5,1,0,0,6,0
8714,264,8,1,0,0,10,1
8717,264,3,1,0,0,3,1
8718,264,2,1,0,0,3,1
8720,264,24,1,0,0,29,1
8721,264,24,1,0,0,13,1
8722,936,3,1,0,0,2,1
8723,264,16,1,0,0,16,0
8724,264,3,1,0,0,9,0
8733,264,16,0,0,0,24,0
8740,240,0,1,0,0,2,0
8747,216,0,1,0,0,2,1
8751,192,0,1,0,0,1,0
8786,168,0,1,0,0,1,0
8790,168,0,1,0,0,1,0
8921,48,0,1,0,0,5,0
8940,264,2,1,0,0,1,0
8941,264,5,1,0,0,4,1
8942,264,16,1,0,0,10,1
8943,264,8,1,0,0,4,1
8944,264,5,1,0,0,3,1
8945,264,8,1,0,0,6,1
8948,264,0,0,0,0,5,0
8949,264,0,0,0,0,5,0
8950,264,0,0,0,0,5,0
8951,264,0,0,0,0,5,0
8952,264,16,1,0,0,32,0
8954,264,5,1,0,0,5,0
8956,264,8,1,0,0,32,1
8957,264,16,1,0,0,15,0
8959,264,5,1,0,0,8,1
8960,264,3,1,0,0,3,0
8961,264,5,1,0,0,2,1
8963,600,16,1,0,0,17,1
8965,264,5,1,0,0,2,1
8967,240,0,1,0,0,1,0
8968,240,0,1,0,0,3,0
8969,240,0,1,0,0,1,0
8970,240,0,1,0,0,1,0
8971,240,0,1,0,0,1,0
8972,240,0,1,0,0,2,0
8973,240,0,1,0,0,2,0
8975,240,0,1,0,0,1,0
